,week_of_outbreak,state_ut,district,Disease,Cases,Deaths,day,mon,year,Latitude,Longitude,preci,LAI,Temp
21,10th week,Gujarat,Gandhinagar,Acute Diarrhoeal Disease,14,,6,3,2022,23.2232877,72.6492267,7.10E-05,,307.38
22,10th week,Gujarat,Anand,Acute Gastroenteritis,24,,5,3,2022,22.5584995,72.9625629,5.63E-05,,307.34
23,10th week,Telangana,Nalgonda,Dengue,6,,11,3,2022,16.8579636,79.21749353,0.000133547,8,309.556
24,10th week,West Bengal,North 24 Parganas,Acute Diarrhoeal Disease,556,,5,3,2022,22.642931,88.8930579,0.012725571,,299.72
25,10th week,Kerala,Trivandrum,Dengue,9,,22,2,2022,8.4882267,76.947551,0.093703532,46,301.496
26,10th week,Tamil Nadu,Ariyalur,Dengue,6,,5,2,2022,11.07603595,79.11745538,0.012508729,10,303.384
27,10th week,Tamil Nadu,Ariyalur,pyrexia of unknown origin,15,,31,1,2022,11.07603595,79.11745538,0.083089587,10,300.355
28,10th week,Tamil Nadu,Virudhunagar,Dengue,17,,16,2,2022,9.5208936,77.8784564,0.307975438,7,306
29,11th week,Karnataka,Haveri,Acute Diarrhoeal Disease,25,,17,3,2022,14.7874825,75.3996731,0.001275128,20,307.064
30,11th week,Karnataka,Haveri,Acute Diarrhoeal Disease,36,,18,3,2022,14.7874825,75.3996731,0.001077243,20,307.02
31,11th week,Kerala,Ernakulam,Acute Diarrhoeal Disease,16,,11,3,2022,9.98408,76.2741457,0.04311431,38,303.712
32,11th week,Maharashtra,Akola,Chikungunya,9,,12,3,2022,20.76181225,77.19211567,0.011401509,5,311.4666666
33,11th week,Odisha,Koraput,Acute Diarrhoeal Disease,41,,22,3,2022,18.7232023,82.60811828,0.000485165,,307.552
34,12th week,Gujarat,Navsari,Acute Diarrhoeal Disease,19,,27,3,2022,20.952407,72.9323831,8.80E-05,4,309.62
35,12th week,Gujarat,Kheda,Acute Diarrhoeal Disease,19,,23,3,2022,22.75,72.833333,8.42E-05,6,311.6233334
36,12th week,Karnataka,Dakshin Kannada,Acute Diarrhoeal Disease,29,,23,3,2022,12.8827367,75.0309089,0.154846349,23,303.66
37,12th week,Maharashtra,Raigad,Dengue,11,,21,3,2022,18.4928092,73.13807095,0.000180034,,312.184
38,12th week,Tamil Nadu,Ariyalur,Acute Diarrhoeal Disease,14,,24,3,2022,11.07603595,79.11745538,0.00316601,8,308.436
39,12th week,West Bengal,South 24 parganas,Acute Diarrhoeal Disease,35,,26,3,2022,22.5760669,88.42006758,0.01326398,13,304.952
40,13th week,Kerala,Ernakulam,Acute Diarrhoeal Disease,21,,21,3,2022,9.98408,76.2741457,0.28021619,,302.56
41,13th week,Kerala,Thrissur,Acute Diarrhoeal Disease,7,,30,3,2022,10.5256264,76.2132542,0.629658683,,302.385
42,13th week,Kerala,thiruvananthapuram,Dengue,8,,16,3,2022,8.4882267,76.947551,0.076192424,38,305.112
43,13th week,Karnataka,Davanagere,Acute Diarrhoeal Disease,21,,29,3,2022,14.4661266,75.9206361,0.015233737,,307.625
44,13th week,Odisha,Koraput,Acute Diarrhoeal Disease,9,,4,3,2022,18.7232023,82.60811828,5.11E-05,11,306.932
45,13th week,Odisha,Ganjam,Acute Diarrhoeal Disease,83,,5,3,2022,19.4129711,85.04710406,,,304.2933334
46,13th week,Odisha,Ganjam,Acute Diarrhoeal Disease,69,,3,4,2022,19.4129711,85.04710406,,11,303.648
47,13th week,Odisha,Koraput,Acute Diarrhoeal Disease,8,,28,3,2022,18.7232023,82.60811828,0.000614995,11,308.1933334
48,13th week,Tamil Nadu,Pudukkottai,Dengue,15,,30,3,2022,10.5,78.833333,0.067214393,,306.37
49,14th week,Karnataka,Dakshina Kannada,Acute Diarrhoeal Disease,12,,2,4,2022,12.9324457,74.9813132,0.151688393,19,303.228
50,14th week,Telangana,Hyderabad,Acute Diarrhoeal Disease,95,,8,4,2022,17.360589,78.4740613,0.000879936,6,312.864
51,14th week,West Bengal,Hooghly,Cholera,50,,6,4,2022,22.9052114,88.3760639,0.016061035,,301.768
52,15th week,Odisha,Ganjam,Acute Diarrhoeal Disease,32,,11,4,2022,19.4129711,85.04710406,,12,303.004
53,15th week,Odisha,Ganjam,Acute Diarrhoeal Disease,39,,8,4,2022,19.4129711,85.04710406,,12,302.56
54,15th week,Tamil Nadu,Kallakurichi,Acute Diarrhoeal Disease,14,,17,4,2022,11.7406259,78.9637131,0.351280164,10,312.57
55,15th week,West Bengal,Paschim Medinipur,Acute Diarrhoeal Disease,105,,12,4,2022,22.3599134,87.41331448,0.00157665,17,303.61
56,15th week,West Bengal,North 24 Parganas,Acute Diarrhoeal Disease,132,,17,4,2022,22.642931,88.8930579,0.124579567,16,302.7066666
57,15th week,Kerala,Palakkad,Dengue,18,,26,3,2022,10.78789845,76.47408711,0.207999916,23,305.46
58,16th week,Haryana,Panipat,Acute Diarrhoeal Disease,6,,23,4,2022,29.3912753,76.9771675,0.007797901,,309.8166666
59,16th week,Kerala,Kollam,Acute Diarrhoeal Disease,61,,24,4,2022,8.8879509,76.5955013,0.340955576,13,302.42
60,16th week,Kerala,Trivandrum,Acute Diarrhoeal Disease,6,,19,4,2022,8.4882267,76.947551,0.765673624,40,302.245
61,16th week,Odisha,Kandhamal,Acute Diarrhoeal Disease,11,,18,4,2022,20.13069385,84.07904761,0.01136203,10,310.692
62,16th week,Odisha,Ganjam,Cholera,23,,21,4,2022,19.4129711,85.04710406,,11,304.5533334
63,16th week,West Bengal,South 24 Parganas,Acute Diarrhoeal Disease,71,,19,4,2022,22.5760669,88.42006758,0.00193066,10,304.9333334
64,16th week,West Bengal,Bardhaman,Acute Diarrhoeal Disease,91,,18,4,2022,23.41146995,87.84499445,0.106528719,11,306.0133334
65,16th week,West Bengal,Howrah,Cholera,53,,17,4,2022,22.5736296,88.3251045,0.002075952,10,305.268
66,17th week,Karnataka,Hassan,Acute Diarrhoeal Disease,40,,24,4,2022,13.0070817,76.0992703,0.098806027,10,303.87
67,17th week,Kerala,Kollam,Acute Diarrhoeal Disease,63,,29,4,2022,8.8879509,76.5955013,0.300202184,13,301.72
68,17th week,Odisha,Ganjam,Acute Diarrhoeal Disease,29,,26,4,2022,19.4129711,85.04710406,,11,306.316
69,17th week,Tamil Nadu,Ariyalur,Acute Diarrhoeal Disease,17,,28,4,2022,11.07603595,79.11745538,0.030806768,8,310.16
70,17th week,West Bengal,Hooghly,Acute Diarrhoeal Disease,40,,25,4,2022,22.9052114,88.3760639,0.042264176,12,302.65
71,17th week,Gujarat,Navsari,Acute Diarrhoeal Disease,21,,2,1,2022,20.952407,72.9323831,0.004996546,5,298.955
72,17th week,Kerala,Ernakulam,Dengue,16,,28,3,2022,9.98408,76.2741457,0.297670268,30,303.396
73,18th week,Andhra Pradesh,Krishna,Acute Diarrhoeal Disease,30,,28,4,2022,16.21399145,81.02572814,0.001602219,7,308.756
74,18th week,Gujarat,Sabarkantha,Dengue,4,3,26,4,2022,24.0294885,73.0459884,0.000451824,7,318.4766666
75,18th week,Kerala,Thiruvananthapuram,Acute Diarrhoeal Disease,10,,4,5,2022,8.4882267,76.947551,0.277466418,45,301.6866666
76,18th week,Madhya Pradesh,Mandsaur,Acute Diarrhoeal Disease,254,,7,5,2022,24.2651306,75.38718194,0.011397078,3,317.3666666
77,18th week,Punjab,S.A.S Nagar,Acute Diarrhoeal Disease,113,,25,4,2022,30.7041168,76.7176885,0.009009361,6,309.4233334
78,18th week,Tamil Nadu,Vellore,Acute Diarrhoeal Disease,15,,7,5,2022,12.7948109,79.0006411,0.112962571,10,306.572
79,18th week,Jharkhand,East Singhbhum,Malaria,37,1,21,4,2022,22.8092139,86.2091549,0.041429957,7,311.8366666
80,18th week,Punjab,Kapurthala,Acute Diarrhoeal Disease,11,,25,4,2022,31.38524095,75.30552274,0.018939754,5,310.792
81,18th week,Karnataka,Hassan,Acute Diarrhoeal Disease,40,,26,4,2022,13.0070817,76.0992703,0.004949535,10,303.745
82,18th week,Karnataka,Shivamogga,Acute Diarrhoeal Disease,85,,7,5,2022,13.9326093,75.574978,0.015284959,16,302.1966666
83,19th week,Chhattisgarh,Gariyaband,Acute Diarrhoeal Disease,33,,13,5,2022,20.52684285,82.187831,0.19697958,11,307.805
84,19th week,Chhattisgarh,Janjgir Champa,Acute Diarrhoeal Disease,57,,7,5,2022,21.9671264,82.66472425,0.003964035,9,311.408
85,19th week,Gujarat,Navsari,Acute Diarrhoeal Disease,47,,15,5,2022,20.952407,72.9323831,8.75E-05,3,307.5633334
86,19th week,Karnataka,Kalaburagi,Cholera,144,,7,5,2022,17.166667,77.083333,0.006687554,3,318.132
87,19th week,Karnataka,Tumkur,Acute Diarrhoeal Disease,13,,13,5,2022,13.3400771,77.1006208,0.44945788,9,303.58
88,19th week,Kerala,Ernakulam,Acute Diarrhoeal Disease,65,,9,5,2022,9.98408,76.2741457,0.579496687,,300.8066666
89,19th week,Kerala,Kozhikode,Acute Diarrhoeal Disease,100,,8,5,2022,11.2450558,75.7754716,0.595196898,,
90,19th week,Madhya Pradesh,Morena,Acute Diarrhoeal Disease,15,,13,5,2022,26.166667,77.5,0.000211447,3,316.4866666
91,19th week,Maharashtra,Jalgaon,Dengue,9,1,6,5,2022,20.84288265,75.52612464,0.000181007,4,319.8166666
92,19th week,Odisha,Ganjam,Acute Diarrhoeal Disease,22,,10,5,2022,19.4129711,85.04710406,,11,302.8666666
93,19th week,Punjab,S.A.S Nagar,Acute Diarrhoeal Disease,18,,11,5,2022,30.7041168,76.7176885,0.033614744,7,307.8933334
94,19th week,Rajasthan,Bikaner,Acute Diarrhoeal Disease,27,,12,5,2022,28.0159286,73.3171367,8.15E-05,2,321.53
95,19th week,Tamil Nadu,Vellore,Acute Diarrhoeal Disease,15,,6,5,2022,12.7948109,79.0006411,0.108199163,10,308.484
96,19th week,West Bengal,Jalpaiguri,Dengue,272,,8,5,2022,26.4733048,88.67886686,0.216141642,,304.6
97,19th week,Maharashtra,Sindhudurg,Malaria (PV),5,,4,5,2022,16.1357193,73.6522086,0.011602965,19,305.6833334
98,19th week,Karnataka,Hassan,Acute Diarrhoeal Disease,20,,9,5,2022,13.0070817,76.0992703,0.154825336,,302.324
99,20th week,Andhra Pradesh,Prakasam,Acute Diarrhoeal Disease,29,,15,5,2022,15.6589741,79.47164373,0.964983839,6,308.2466666
100,20th week,Assam,Udalguri,Acute Diarrhoeal Disease,14,,17,5,2022,26.77253155,92.10641749,2.407587488,,300.92
101,20th week,Kerala,Alappuzha,Dengue,7,,17,5,2022,9.5006651,76.41241429,1.823726827,,
102,20th week,Kerala,Thiruvananthapuram,Dengue,7,,13,5,2022,8.4882267,76.947551,0.324766176,12,302.87
103,20th week,Kerala,Wayanad,Acute Diarrhoeal Disease,22,,13,5,2022,11.715219,76.12690295,0.621783565,6,301.55
104,20th week,Karnataka,Ballari,Acute Diarrhoeal Disease,22,,17,5,2022,15.2485413,76.8323648,0.231005367,,312.53
105,20th week,Maharashtra,Pune,Dengue,21,,16,5,2022,18.521428,73.8544541,0.008698042,,309.265
106,20th week,Uttar Pradesh,Mirzapur,Acute Diarrhoeal Disease,12,,18,5,2022,25.1010477,82.62574936,0.000417409,4,313
107,20th week,Karnataka,Tumakuru,Acute Diarrhoeal Disease,13,,11,5,2022,13.3400771,77.1006208,0.153914666,9,304.56
108,20th week,Maharashtra,Pune,Dengue,12,,23,4,2022,18.521428,73.8544541,0.01502899,,314.96
109,20th week,Meghalaya,West Jaintia Hills,Acute Diarrhoeal Disease,110,,12,5,2022,25.4425965,92.29882747,1.120595492,17,302.0133334
110,20th week,Meghalaya,West Jaintia Hills,Acute Diarrhoeal Disease,60,,1,5,2022,25.4425965,92.29882747,0.720570193,,300.456
111,21st week,Arunachal Pradesh,West Kameng,Acute Diarrhoeal Disease,37,,27,5,2022,27.4,92.35,1.087377988,18,291.86
112,21st week,Kerala,Kozhikode,Acute Diarrhoeal Disease,42,,24,5,2022,11.2450558,75.7754716,2.568560169,,
113,21st week,Kerala,Palakkad,Acute Diarrhoeal Disease,29,,23,5,2022,10.78789845,76.47408711,1.851591895,10,296.47
114,21st week,Madhya Pradesh,Ratlam,Acute Diarrhoeal Disease,113,,22,5,2022,23.4805919,74.91931943,2.79E-05,3,317.87
115,21st week,Maharashtra,Chandrapur,Malaria,13,1,25,5,2022,20.0967555,79.50454752,0.006072435,,314.545
116,21st week,Odisha,Dhenkanal,Acute Diarrhoeal Disease,37,,23,5,2022,20.75,85.5,0.006900563,16,305.02
117,21st week,Puducherry,Karaikal,Acute Diarrhoeal Disease,113,,26,5,2022,10.91571,79.8375761,0.037657789,11,306.88
118,21st week,Uttar Pradesh,Sant Ravidas Nagar,Acute Diarrhoeal Disease,21,1,21,5,2022,25.3560294,82.50057725,0.035829539,4,311.224
119,21st week,Karnataka,Udupi,Dengue,92,,17,5,2022,13.3419169,74.7473232,0.833167973,,302.55
120,21st week,Kerala,Palakkad,Dengue,18,,3,5,2022,10.78789845,76.47408711,0.750761822,11,302.5066666
121,21st week,Punjab,Patiala,Acute Diarrhoeal Disease,218,2,11,4,2022,30.2090874,76.33987209,0.000438239,5,311.5233334
122,22nd week,Assam,Baksa,Acute Diarrhoeal Disease,15,,31,5,2022,26.62758805,91.46190527,0.134141354,29,301.835
123,22nd week,Gujarat,Chhota Udepur,Acute Diarrhoeal Disease,203,,29,6,2022,22.3148736,74.0141067,0.297631983,5,309.9733334
124,22nd week,Haryana,Gurugram,Acute Diarrhoeal Disease,6,,30,5,2022,28.4646148,77.0299194,0.066657082,5,303.9933334
125,22nd week,Karnataka,Kalaburagi,Acute Diarrhoeal Disease,16,,1,6,2022,17.166667,77.083333,0.009536169,,315.56
126,22nd week,Karnataka,Mysuru,Acute Diarrhoeal Disease,41,,30,5,2022,12.3051828,76.6553609,0.144834229,12,301.868
127,22nd week,Karnataka,Raichur,Acute Diarrhoeal Disease,321,3,29,5,2022,16.083333,77.166667,0.001634859,4,310.876
128,22nd week,Karnataka,Vijayapura,Chikungunya,13,,1,6,2022,16.666667,75.916667,0.008072189,,312.472
129,22nd week,Kerala,Alappuzha,Acute Diarrhoeal Disease,9,,27,5,2022,9.5006651,76.41241429,0.831819129,24,299.235
130,22nd week,Madhya Pradesh,Gwalior,Acute Diarrhoeal Disease,48,,17,3,2022,26.2037247,78.1573628,0.00012832,8,307.3266666
131,22nd week,Madhya Pradesh,Morena,Acute Diarrhoeal Disease,4,,31,5,2022,26.166667,77.5,0.005249183,3,311.6
132,22nd week,Madhya Pradesh,Narsinghpur,Acute Diarrhoeal Disease,136,2,31,5,2022,22.9467047,79.1980228,0.028293647,9,308.0733334
133,22nd week,Madhya Pradesh,Sheopur,Acute Diarrhoeal Disease,56,,4,6,2022,25.6656611,76.6954843,2.40E-05,4,313.59
134,22nd week,Maharashtra,Gadchiroli,Malaria,310,1,29,5,2022,19.75907035,80.16228073,0.008761994,10,311.0866666
135,22nd week,Maharashtra,Nagpur,Acute Diarrhoeal Disease,41,,1,6,2022,21.1498134,79.0820556,0.036554435,,313.4933334
136,22nd week,Maharashtra,Pune,Acute Diarrhoeal Disease,97,,20,5,2022,18.521428,73.8544541,0.009360111,6,310.9133334
137,22nd week,Maharashtra,Satara,Chikungunya,5,,31,5,2022,17.63612885,74.29827808,0.00517904,5,315.364
138,22nd week,Odisha,Mayurbhanj,Acute Diarrhoeal Disease,73,,31,5,2022,21.75,86.5,0.183589476,14,304.444
139,22nd week,Tamil Nadu,Dharmapuri,Acute Diarrhoeal Disease,24,,3,6,2022,12.09680475,78.19304301,0.08874494,13,306.105
140,22nd week,Tamil Nadu,Kallakurichi,Acute Diarrhoeal Disease,40,,30,5,2022,11.7406259,78.9637131,0.20160623,12,306.932
141,22nd week,Tamil Nadu,Thanjavur,Acute Diarrhoeal Disease,9,,3,6,2022,10.7860267,79.1381497,0.164404422,9,310.305
142,22nd week,Uttarakhand,Udham Singh Nagar,Acute Diarrhoeal Disease,39,,30,5,2022,29.0480988,79.43131332,0.107819766,28,300.28
143,22nd week,Uttar Pradesh,Siddharth Nagar,Acute Diarrhoeal Disease,30,1,31,5,2022,27.25264095,82.86964796,0.0587104,5,308.695
144,22nd week,Andhra Pradesh,Nandyal,Acute Diarrhoeal Disease,21,1,16,5,2022,15.52481495,78.41517104,0.490797293,,303.26
145,22nd week,Arunachal Pradesh,Upper Siang,Malaria,36,,12,5,2022,28.73120455,95.03773151,1.142611934,25,296.955
146,22nd week,Chhattisgarh,Janjgir Champa,Acute Diarrhoeal Disease,33,,23,5,2022,21.9671264,82.66472425,0.011738792,9,311.144
147,22nd week,Jharkhand,Ranchi,Acute Diarrhoeal Disease,21,,20,5,2022,23.3700501,85.3250387,0.065763006,8,308.388
148,22nd week,Kerala,Thiruvananthapuram,Acute Diarrhoeal Disease,11,,26,5,2022,8.4882267,76.947551,0.720542919,32,300.48
149,23rd week,Assam,Dibrugarh,Acute Diarrhoeal Disease,18,,10,6,2022,27.4844597,94.9019447,0.862114992,,294.68
150,23rd week,Assam,Karbi Anglong,Acute Diarrhoeal Disease,54,,9,6,2022,26,93.5,1.127105814,,
151,23rd week,Assam,Sonitpur,Dengue,2,,3,6,2022,26.76777075,92.70140886,0.593727141,9,301.796
152,23rd week,Chhattisgarh,Jashpur,Acute Diarrhoeal Disease,12,,7,6,2022,22.76678355,83.95304519,0.002634188,15,307.896
153,23rd week,Gujarat,Junagadh,Acute Diarrhoeal Disease,25,,6,6,2022,21.5174104,70.4642754,0.000833577,4,315.924
154,23rd week,Jharkhand,West Singhbhum,Acute Diarrhoeal Disease,4,,6,6,2022,22.7859232,86.1716093,0.13417507,11,306.0533334
155,23rd week,Kerala,Thiruvananthapuram,Acute Diarrhoeal Disease,9,,7,6,2022,8.4882267,76.947551,0.355742082,25,300.896
156,23rd week,Madhya Pradesh,Bhopal,Acute Diarrhoeal Disease,32,,7,6,2022,23.2584857,77.401989,4.81E-05,6,316.1833334
157,23rd week,Madhya Pradesh,Morena,Acute Diarrhoeal Disease,12,,7,6,2022,26.166667,77.5,4.75E-05,3,318.4833334
158,23rd week,Maharashtra,Chandrapur,Malaria,3,1,4,6,2022,20.0967555,79.50454752,0.006238415,6,311.32
159,23rd week,Maharashtra,Latur,Acute Diarrhoeal Disease,21,,7,6,2022,18.35159075,76.75542361,0.027191652,2,312.025
160,23rd week,Maharashtra,Satara,Chikungunya,5,,3,6,2022,17.63612885,74.29827808,0.029201873,5,311.508
161,23rd week,Odisha,Khordha,Acute Diarrhoeal Disease,7,,10,6,2022,20.22564715,85.56059465,0.001571476,,308.04
162,23rd week,Rajasthan,Bhilwara,Acute Diarrhoeal Disease,160,,8,6,2022,25.48877345,74.69961284,5.06E-05,3,316.9933334
163,23rd week,Tamil Nadu,Dharmapuri,Acute Diarrhoeal Disease,26,,3,6,2022,12.09680475,78.19304301,0.08874494,13,306.105
164,23rd week,Tamil Nadu,Tiruchirappalli,Acute Diarrhoeal Disease,7,,6,6,2022,10.7992254,78.6811423,0.05825984,9,308.19
165,23rd week,Tamil Nadu,Tiruchirappalli,Cholera,17,,6,6,2022,10.7992254,78.6811423,0.05825984,9,308.19
166,23rd week,Tamil Nadu,Tiruchirappalli,Acute Diarrhoeal Disease,17,,6,6,2022,10.7992254,78.6811423,0.05825984,9,308.19
167,23rd week,Andhra Pradesh,Nandyal,Acute Diarrhoeal Disease,10,,31,5,2022,15.52481495,78.41517104,0.000364604,16,307.456
168,23rd week,Karnataka,BBMP,Cholera,169,1,31,5,2022,13.058135,77.50646228,0.046760732,12,302.6833334
169,23rd week,Kerala,Ernakulam,Dengue,69,,24,4,2022,9.98408,76.2741457,0.338997773,26,302.5733334
170,23rd week,Maharashtra,Jalgaon,Chikungunya,9,,23,5,2022,20.84288265,75.52612464,0.000207556,3,315.88
171,23rd week,Tamil Nadu,Tenkasi,Dengue,19,,20,5,2022,9.0318958,77.36536125,0.486404379,7,314.98
172,24th week,Chhattisgarh,Balod,Acute Diarrhoeal Disease,8,1,15,6,2022,20.73218365,81.14335738,0.091054552,9,312.9
173,24th week,Himachal Pradesh,Solan,Dengue,34,,10,6,2022,30.92589585,77.08200509,7.63E-05,,305.7866666
174,24th week,Jharkhand,East Singhbhum,Acute Diarrhoeal Disease,21,1,11,6,2022,22.8092139,86.2091549,0.083907168,10,306.504
175,24th week,Karnataka,Chikkamagaluru,Acute Diarrhoeal Disease,37,,11,6,2022,13.5,75.5,0.197532349,22,297.78
176,24th week,Karnataka,Shivamogga,Acute Diarrhoeal Disease,45,,13,6,2022,13.9326093,75.574978,0.182578161,12,301.66
177,24th week,Karnataka,Kolar,Acute Diarrhoeal Disease,13,,14,6,2022,13.1367201,78.1337246,0.103152696,13,305.2066666
178,24th week,Karnataka,Dakshina Kannada,Acute Diarrhoeal Disease,18,,13,6,2022,12.9324457,74.9813132,1.388208146,12,301.76
179,24th week,Karnataka,Mandya,Acute Diarrhoeal Disease,14,,12,6,2022,12.5238888,76.8961961,0.058549216,9,303.26
180,24th week,Karnataka,Vijayapura,Chikungunya,16,,12,6,2022,16.666667,75.916667,0.159472373,4,306.664
181,24th week,Karnataka,Chikkaballapur,Dengue,28,1,8,6,2022,13.6102243,77.5127721,0.345892089,10,304.065
182,24th week,Madhya Pradesh,Rewa,Acute Diarrhoeal Disease,20,1,12,6,2022,24.756718,81.65493469,0.000434934,4,315.416
183,24th week,Maharashtra,Gondia,Malaria,47,1,13,6,2022,21.455228,80.1962729,0.028822131,7,311.61
184,24th week,Maharashtra,Nagpur,Acute Diarrhoeal Disease,47,,15,6,2022,21.1498134,79.0820556,0.144372744,3,317.6
185,24th week,Punjab,Patiala,Acute Diarrhoeal Disease,283,,15,6,2022,30.2090874,76.33987209,0.013158468,3,312.0266666
186,24th week,Uttar Pradesh,Kaushambi,Acute Diarrhoeal Disease,8,2,16,6,2022,25.53609455,81.44672839,0.012937982,5,311.985
187,1st week,Kerala,Ernakulam,Acute Diarrhoeal Disease,92,,1,1,2021,9.98408,76.2741457,0.183785227,34,302.304
188,1st week,Tamil Nadu,Dharmapuri,Acute Diarrhoeal Disease,17,,4,1,2022,12.09680475,78.19304301,0.112242577,15,298.36
189,2nd week,Puducherry,Puducherry,Dengue,6,,11,1,2021,11.9340568,79.8306447,0.875774087,8,300.28
190,3rd week,Karnataka,Raichur,Acute Diarrhoeal Disease,13,,20,1,2021,16.083333,77.166667,2.27E-05,8,304.4033334
191,3rd week,Karnataka,Chikkaballapur,Acute Diarrhoeal Disease,61,,24,1,2021,13.6102243,77.5127721,0.000920176,,303.09
192,3rd week,Karnataka,Bagalkot,Chikungunya,18,,17,1,2021,16.1853166,75.6967919,5.22E-05,,304.2133334
193,3rd week,Karnataka,Ballari,Acute Diarrhoeal Disease,47,1,20,1,2021,15.2485413,76.8323648,2.27E-05,8,303.2133334
194,3rd week,Maharashtra,Gadchiroli,Malaria,2,1,20,1,2021,19.75907035,80.16228073,2.27E-05,13,302.15
195,3rd week,Punjab,Patiala,Acute Diarrhoeal Disease,41,,18,1,2021,30.2090874,76.33987209,0.002698493,16,291.34
196,3rd week,West Bengal,North 24 Parganas,Acute Diarrhoeal Disease,62,,18,1,2021,22.642931,88.8930579,7.19E-05,6,293.5066666
197,4th week,Karnataka,Ballari,Acute Diarrhoeal Disease,14,,26,1,2021,15.2485413,76.8323648,7.83E-06,7,306.288
198,4th week,Kerala,Ernakulam,Acute Diarrhoeal Disease,23,,25,1,2021,9.98408,76.2741457,0.291835183,,301.948
199,4th week,Maharashtra,Gadchiroli,Malaria,10,1,26,1,2021,19.75907035,80.16228073,7.83E-06,14,302.7
200,4th week,Puducherry,Puducherry,Dengue,13,,25,1,2021,11.9340568,79.8306447,0.059788043,,300.11
201,4th week,Tamil Nadu,Virudhunagar Sivakasi,Dengue,7,,25,1,2021,9.4477045,77.8000434,0.086656675,,301.34
202,5th week,Himachal Pradesh,Bilaspur,Acute Diarrhoeal Disease,309,,6,2,2021,31.3380959,76.7611631,0.227996598,12,287.772
203,5th week,Karnataka,Chamarajanagar,Chikungunya,15,,2,1,2021,11.9346006,76.9328209,0.21464963,16,302.82
204,5th week,Karnataka,Hassan,Acute Diarrhoeal Disease,14,,1,2,2021,13.0070817,76.0992703,0.000628031,,304.448
205,5th week,Karnataka,Mandya,Acute Diarrhoeal Disease,26,,4,2,2021,12.5238888,76.8961961,0.000156331,8,303.812
206,5th week,Karnataka,Raichur,Acute Diarrhoeal Disease,18,,5,2,2021,16.083333,77.166667,7.82E-05,7,306.6133334
207,5th week,Maharashtra,Satara,Chikungunya,20,,25,1,2021,17.63612885,74.29827808,8.27E-06,,306.4833334
208,5th week,Maharashtra,Thane,Malaria,2,1,6,1,2021,19.1943294,72.9701779,0.025765097,12,302.99
